Date,Pred,Ret,Strategy_Ret,Correct
2023-11-18,0,0.021889527372586093,0.0,False
2023-11-19,0,0.0024182537251242753,0.0,False
2023-11-20,0,-0.04437779006078835,-0.0,True
2023-11-21,0,0.045192824521265385,0.0,False
2023-11-22,0,-0.003812712499291715,-0.0,True
2023-11-23,0,0.011549062275727495,0.0,False
2023-11-24,0,0.0020283973558654633,0.0,False
2023-11-25,0,-0.008404730932136117,-0.0,True
2023-11-26,0,-0.006002091789647501,-0.0,True
2023-11-27,0,0.01548599794884531,0.0,False
2023-11-28,0,0.0007244373065387055,0.0,False
2023-11-29,0,-0.0038497596002547985,-0.0,True
2023-11-30,0,0.025879947957747618,0.0,False
2023-12-01,0,0.020356874575942596,0.0,False
2023-12-02,0,0.012717964611113297,0.0,False
2023-12-03,0,0.05006972516793251,0.0,False
2023-12-04,0,0.05003682455553493,0.0,False
2023-12-05,0,-0.007581629055975703,-0.0,True
2023-12-06,0,-0.010372985662227885,-0.0,True
2023-12-07,0,0.02018673414826888,0.0,False
2023-12-08,0,-0.009976252913108663,-0.0,True
2023-12-09,0,0.0012284421841561866,0.0,False
2023-12-10,0,-0.05792335792051162,-0.0,True
2023-12-11,0,0.005004157345118276,0.0,False
2023-12-12,0,0.03475299863154757,0.0,False
2023-12-13,0,0.0031062756659134827,0.0,False
2023-12-14,0,-0.025432678020983368,-0.0,True
2023-12-15,0,0.007401888090740938,0.0,False
2023-12-16,0,-0.02072563201266564,-0.0,True
2023-12-17,0,0.030433584522719714,0.0,False
2023-12-18,0,-0.008282083715112631,-0.0,True
2023-12-19,0,0.032687613405284255,0.0,False
2023-12-20,0,0.0049688697318006625,0.0,False
2023-12-21,1,0.002934864092908329,0.002934864092908329,True
2023-12-22,0,-0.005872083923035065,-0.0,True
2023-12-23,1,-0.01653939964043194,-0.01653939964043194,False
2023-12-24,0,0.013879063861056418,0.0,False
2023-12-25,0,-0.025055253200995553,-0.0,True
2023-12-26,0,0.021694364920222586,0.0,False
2023-12-27,0,-0.01876027694786908,-0.0,True
2023-12-28,0,-0.012396896798793966,-0.0,True
2023-12-29,0,0.0013658151137276864,0.0,False
2023-12-30,0,0.002568622223877659,0.0,False
2023-12-31,0,0.0450049945064126,0.0,False
2024-01-01,1,0.017900939051301412,0.017900939051301412,True
2024-01-02,0,-0.04692812036242189,-0.0,True
2024-01-03,1,0.03108057856532498,0.03108057856532498,True
2024-01-04,0,-0.0003900067727314882,-0.0,True
2024-01-05,1,-0.003928567037593367,-0.003928567037593367,False
2024-01-06,0,-0.0010479313368322307,-0.0,True
2024-01-07,0,0.06889378335779228,0.0,False
2024-01-08,1,-0.017687130611972357,-0.017687130611972357,False
2024-01-09,1,0.010577584004972662,0.010577584004972662,True
2024-01-10,0,-0.005558733892443213,-0.0,True
2024-01-11,1,-0.07581464687080208,-0.07581464687080208,False
2024-01-12,0,-0.0002516769882185965,-0.0,True
2024-01-13,0,-0.0244177193838242,-0.0,True
2024-01-14,0,0.01712351907901466,0.0,False
2024-01-15,0,0.015124600939588229,0.0,False
2024-01-16,0,-0.009553782672285682,-0.0,True
2024-01-17,1,-0.034639725632667706,-0.034639725632667706,False
2024-01-18,0,0.00863620644230223,0.0,False
2024-01-19,0,0.0011336255217606617,0.0,False
2024-01-20,1,-0.0028752933279206916,-0.0028752933279206916,False
2024-01-21,0,-0.049064374667218136,-0.0,True
2024-01-22,0,0.008560013431039293,0.0,False
2024-01-23,0,0.005810521700930993,0.0,False
2024-01-24,0,-0.0035747525934159974,-0.0,True
2024-01-25,0,0.04715459322091098,0.0,False
2024-01-26,0,0.007250269707417489,0.0,False
2024-01-27,1,-0.002005242826170095,-0.002005242826170095,False
2024-01-28,0,0.029799801358818767,0.0,False
2024-01-29,0,-0.007753530092744043,-0.0,True
2024-01-30,1,-0.00861423582021903,-0.00861423582021903,False
2024-01-31,0,0.011581441842771323,0.0,False
2024-02-01,0,0.0025556346111748063,0.0,False
2024-02-02,0,-0.0044831659668692625,-0.0,True
2024-02-03,0,-0.009505619472114146,-0.0,True
2024-02-04,0,0.0017632602500394778,0.0,False
2024-02-05,0,0.009986338686479135,0.0,False
2024-02-06,0,0.028630850081180936,0.0,False
2024-02-07,0,0.022188248784866804,0.0,False
2024-02-08,0,0.040741037427910465,0.0,False
2024-02-09,1,0.013236801662479536,0.013236801662479536,True
2024-02-10,1,0.010940478338881565,0.010940478338881565,True
2024-02-11,1,0.034461993507690414,0.034461993507690414,True
2024-02-12,1,-0.004319233922406296,-0.004319233922406296,False
2024-02-13,0,0.041900916949929146,0.0,False
2024-02-14,1,0.0021583350882306007,0.0021583350882306007,True
2024-02-15,1,0.004267512618200353,0.004267512618200353,True
2024-02-16,0,-0.009532306269177337,-0.0,True
2024-02-17,0,0.008895163192163213,0.0,False
2024-02-18,1,-0.006588364620277343,-0.006588364620277343,False
2024-02-19,0,0.009767068832988945,0.0,False
2024-02-20,0,-0.008524364120598982,-0.0,True
2024-02-21,1,-0.010305082651198116,-0.010305082651198116,False
2024-02-22,0,-0.011168964874795462,-0.0,True
2024-02-23,0,0.016540904827679226,0.0,False
2024-02-24,1,0.003143945229742817,0.003143945229742817,True
2024-02-25,1,0.053914352844811164,0.053914352844811164,True
2024-02-26,0,0.04700762695380023,0.0,False
2024-02-27,0,0.09493531994124749,0.0,False
2024-02-28,0,-0.020900898468654838,-0.0,True
2024-02-29,0,0.020298739001094468,0.0,False
2024-03-01,0,-0.006578811548619723,-0.0,True
2024-03-02,1,0.01833832389535761,0.01833832389535761,True
2024-03-03,1,0.08173591649219114,0.08173591649219114,True
2024-03-04,0,-0.06628402455760396,-0.0,True
2024-03-05,1,0.03613733749494208,0.03613733749494208,True
2024-03-06,0,0.012384196927533564,0.0,False
